Real Estate Company Name,Street Address,City,State,Zip Code,Listing Price,Phone Number,DNC,Company Email Address
Green Realty,2122 Aspen Ct,Austin,TX,78725,237165.26,471-336-5261,NO,inquiries@greenrealty.com
Sunshine Properties,1516 Cedar Blvd,Austin,TX,78721,209663.73,551-650-5683,NO,ask@sunshineproperties.com
Cedar Grove Estates,456 Oak St,Austin,TX,78714,341211.62,727-390-3597,NO,info@cedargroveestates.com
Riverstone Realty,1718 Spruce Way,Austin,TX,78729,173094.0,103-316-6801,NO,info@riverstonerealty.com
Bluebird Homes,2122 Aspen Ct,Austin,TX,78705,695751.34,149-429-5476,NO,ask@bluebirdhomes.com
Maplewood Homes,789 Pine Ln,Austin,TX,78726,740057.24,665-596-6826,NO,contact@maplewoodhomes.com
Oakwood Estates,1314 Birch Rd,Austin,TX,78735,703965.14,478-116-9038,NO,contact@oakwoodestates.com
Meadowlands Properties,789 Pine Ln,Austin,TX,78726,116351.34,110-456-4528,NO,contact@meadowlandsproperties.com
Green Realty,1920 Willow St,Austin,TX,78742,737070.98,306-884-9353,NO,contact@greenrealty.com
Riverstone Realty,1718 Spruce Way,Austin,TX,78710,669791.13,880-600-8315,NO,contact@riverstonerealty.com
Pine Tree Realty,1012 Elm Ave,Austin,TX,78741,704593.69,185-865-8940,NO,contact@pinetreerealty.com
Maplewood Homes,2324 Redwood Tr,Austin,TX,78746,393043.13,579-895-8505,NO,hello@maplewoodhomes.com
Cedar Grove Estates,1012 Elm Ave,Austin,TX,78724,408173.95,977-610-3142,NO,ask@cedargroveestates.com
Bluebird Homes,123 Maple Dr,Austin,TX,78737,416619.52,100-525-2286,NO,info@bluebirdhomes.com
Skyline Realty,1718 Spruce Way,Austin,TX,78722,323845.71,239-594-4382,NO,ask@skylinerealty.com
Sunshine Properties,1012 Elm Ave,Austin,TX,78728,432907.1,572-515-4395,NO,inquiries@sunshineproperties.com
Green Realty,789 Pine Ln,Austin,TX,78748,465001.49,185-754-2604,NO,hello@greenrealty.com
Bluebird Homes,1920 Willow St,Austin,TX,78713,692235.69,843-861-9164,NO,contact@bluebirdhomes.com
Oakwood Estates,456 Oak St,Austin,TX,78752,457111.39,543-390-1910,NO,inquiries@oakwoodestates.com
Pine Tree Realty,2324 Redwood Tr,Austin,TX,78724,633051.75,980-292-9306,NO,contact@pinetreerealty.com
Cedar Grove Estates,2324 Redwood Tr,Austin,TX,78726,109172.22,596-283-5380,NO,hello@cedargroveestates.com
Sunshine Properties,456 Oak St,Austin,TX,78737,180741.77,418-985-8464,NO,hello@sunshineproperties.com
Pine Tree Realty,789 Pine Ln,Austin,TX,78705,432966.57,152-273-6616,NO,contact@pinetreerealty.com
Riverstone Realty,2324 Redwood Tr,Austin,TX,78734,183792.34,110-188-9449,NO,ask@riverstonerealty.com
Oakwood Estates,123 Maple Dr,Austin,TX,78737,365029.33,892-573-8854,NO,contact@oakwoodestates.com
Oakwood Estates,456 Oak St,Austin,TX,78757,147318.08,758-727-5576,NO,ask@oakwoodestates.com
Oakwood Estates,1012 Elm Ave,Austin,TX,78736,133597.54,392-791-9532,NO,info@oakwoodestates.com
Riverstone Realty,1012 Elm Ave,Austin,TX,78751,173840.78,978-784-4935,NO,ask@riverstonerealty.com
Sunshine Properties,1718 Spruce Way,Austin,TX,78734,736359.58,711-595-4735,NO,info@sunshineproperties.com
Maplewood Homes,1516 Cedar Blvd,Austin,TX,78755,737520.97,476-456-1524,NO,inquiries@maplewoodhomes.com
Maplewood Homes,456 Oak St,Austin,TX,78711,538066.16,639-294-7178,NO,hello@maplewoodhomes.com
Sunshine Properties,456 Oak St,Austin,TX,78711,244251.84,852-566-5603,NO,ask@sunshineproperties.com
Riverstone Realty,456 Oak St,Austin,TX,78728,426447.13,461-628-7776,NO,hello@riverstonerealty.com
Bluebird Homes,456 Oak St,Austin,TX,78713,600074.45,681-742-1176,NO,inquiries@bluebirdhomes.com
Pine Tree Realty,1314 Birch Rd,Austin,TX,78715,335131.75,766-593-2600,NO,inquiries@pinetreerealty.com
Skyline Realty,2122 Aspen Ct,Austin,TX,78726,757904.78,754-633-8323,NO,info@skylinerealty.com
Bluebird Homes,1012 Elm Ave,Austin,TX,78734,269155.26,194-453-1955,NO,hello@bluebirdhomes.com
Green Realty,1012 Elm Ave,Austin,TX,78716,718912.74,502-631-7032,NO,ask@greenrealty.com
Meadowlands Properties,2324 Redwood Tr,Austin,TX,78704,191489.84,868-412-4764,NO,hello@meadowlandsproperties.com
Skyline Realty,2324 Redwood Tr,Austin,TX,78750,584107.52,448-163-9507,NO,inquiries@skylinerealty.com
Skyline Realty,1920 Willow St,Austin,TX,78724,264877.03,433-620-1861,NO,hello@skylinerealty.com
Cedar Grove Estates,1718 Spruce Way,Austin,TX,78753,137570.04,655-645-5104,NO,contact@cedargroveestates.com
Green Realty,789 Pine Ln,Austin,TX,78755,593348.62,136-680-5468,NO,info@greenrealty.com
Cedar Grove Estates,1718 Spruce Way,Austin,TX,78706,112692.95,325-155-2788,NO,info@cedargroveestates.com
Riverstone Realty,2122 Aspen Ct,Austin,TX,78743,350679.22,163-190-5952,NO,contact@riverstonerealty.com
Pine Tree Realty,789 Pine Ln,Austin,TX,78718,348221.51,803-290-9190,NO,info@pinetreerealty.com
Sunshine Properties,2324 Redwood Tr,Austin,TX,78710,513551.09,100-542-8714,NO,hello@sunshineproperties.com
Bluebird Homes,456 Oak St,Austin,TX,78729,303899.02,377-795-7827,NO,info@bluebirdhomes.com
Bluebird Homes,2122 Aspen Ct,Austin,TX,78719,289813.59,725-719-2349,NO,info@bluebirdhomes.com
Meadowlands Properties,1718 Spruce Way,Austin,TX,78704,651810.0,326-837-6640,NO,inquiries@meadowlandsproperties.com
Riverstone Realty,1012 Elm Ave,Austin,TX,78718,658581.76,865-634-5531,NO,hello@riverstonerealty.com
Green Realty,1516 Cedar Blvd,Austin,TX,78716,777517.23,976-303-3846,NO,info@greenrealty.com
Oakwood Estates,1516 Cedar Blvd,Austin,TX,78729,580266.67,552-634-9697,NO,inquiries@oakwoodestates.com
